xflr5 v6.61											
											
 Calculated polar for: SD7032-099-88											
											
 1 1 Reynolds number fixed          Mach number fixed         											
											
 xtrf =   1.000 (top)        1.000 (bottom)											
 Mach =   0.050     Re =     0.300 e 6     Ncrit =   9.000											
											
alpha	CL	CD	CDp	Cm	Top Xtr	Bot Xtr	Cpmin	Chinge	XCp		
-3	0.1318	0.01216	0.00563	-0.1008	0.8935	0.0457	-1.9528	0	0	0	1.0218
-2.8	0.1532	0.01156	0.005	-0.1003	0.8869	0.0512	-1.8011	0	0	0	0.9106
-2.6	0.1759	0.01119	0.00456	-0.1	0.8814	0.0572	-1.6297	0	0	0	0.8233
-2.4	0.1979	0.01077	0.00412	-0.0997	0.8755	0.074	-1.5065	0	0	0	0.7573
-2.2	0.2177	0.00995	0.00382	-0.0994	0.8672	0.2041	-1.3998	0	0	0	0.7097
-2	0.2389	0.00946	0.00363	-0.0992	0.8601	0.3046	-1.264	0	0	0	0.6677
-1.8	0.2607	0.00903	0.00347	-0.099	0.8542	0.4058	-1.1257	0	0	0	0.6317
-1.6	0.2803	0.00867	0.00344	-0.0985	0.8449	0.5095	-0.9965	0	0	0	0.6027
-1.4	0.3002	0.00832	0.00339	-0.0977	0.8368	0.613	-0.8684	0	0	0	0.5765
-1.2	0.3206	0.0081	0.00331	-0.0969	0.8296	0.6815	-0.7416	0	0	0	0.5528
-1	0.3391	0.00792	0.0033	-0.0957	0.8194	0.7435	-0.6346	0	0	0	0.5325
-0.8	0.3568	0.00775	0.00323	-0.0941	0.8107	0.8079	-0.6145	0	0	0	0.5137
-0.6	0.3719	0.00759	0.00319	-0.0919	0.8013	0.8697	-0.631	0	0	0	0.4967
-0.4	0.39	0.00743	0.00307	-0.0903	0.791	0.9291	-0.6494	0	0	0	0.4808
-0.2	0.4278	0.0073	0.00285	-0.0931	0.782	0.9999	-0.6795	0	0	0	0.4668
0	0.4493	0.00732	0.00279	-0.0929	0.77	1	-0.7012	0	0	0	0.4557
0.2	0.4713	0.00737	0.00268	-0.0927	0.7596	1	-0.7235	0	0	0	0.4454
0.4	0.4929	0.00741	0.00266	-0.0926	0.7471	1	-0.7455	0	0	0	0.4362
0.6	0.5149	0.00748	0.00259	-0.0923	0.736	1	-0.7692	0	0	0	0.4276
0.8	0.5365	0.00754	0.00258	-0.0921	0.7227	1	-0.7938	0	0	0	0.4198
1	0.5583	0.00763	0.00255	-0.0919	0.7108	1	-0.8208	0	0	0	0.4125
1.2	0.58	0.0077	0.00256	-0.0917	0.6976	1	-0.8478	0	0	0	0.4058
1.4	0.6016	0.00781	0.00257	-0.0915	0.685	1	-0.8749	0	0	0	0.3996
1.6	0.623	0.00791	0.00259	-0.0912	0.671	1	-0.9045	0	0	0	0.3937
1.8	0.6445	0.00802	0.00262	-0.091	0.6575	1	-0.9347	0	0	0	0.3883
2	0.6658	0.00816	0.00264	-0.0907	0.6438	1	-0.965	0	0	0	0.3832
2.2	0.6872	0.00827	0.0027	-0.0905	0.6293	1	-0.9955	0	0	0	0.3784
2.4	0.7083	0.00842	0.00275	-0.0902	0.615	1	-1.026	0	0	0	0.3739
2.6	0.7293	0.00856	0.00281	-0.0899	0.5998	1	-1.0586	0	0	0	0.3696
2.8	0.7504	0.00871	0.0029	-0.0896	0.5853	1	-1.093	0	0	0	0.3656
3	0.7712	0.0089	0.003	-0.0893	0.5712	1	-1.1275	0	0	0	0.3618
3.2	0.7922	0.00903	0.0031	-0.0891	0.5564	1	-1.1623	0	0	0	0.3582
3.4	0.8129	0.00921	0.0032	-0.0887	0.5419	1	-1.1971	0	0	0	0.3547
3.6	0.8335	0.0094	0.00331	-0.0884	0.527	1	-1.232	0	0	0	0.3514
3.8	0.8543	0.00957	0.00344	-0.0881	0.5132	1	-1.2702	0	0	0	0.3483
4	0.8746	0.00979	0.00357	-0.0878	0.4997	1	-1.3099	0	0	0	0.3453
4.2	0.8953	0.00996	0.00372	-0.0875	0.485	1	-1.3503	0	0	0	0.3424
4.4	0.9155	0.01017	0.00391	-0.0871	0.4708	1	-1.3958	0	0	0	0.3397
4.6	0.9354	0.01041	0.00407	-0.0867	0.4562	1	-1.4422	0	0	0	0.337
4.8	0.9559	0.0106	0.00425	-0.0864	0.4431	1	-1.4897	0	0	0	0.3345
5.2	0.9959	0.01106	0.00463	-0.0856	0.4165	1	-1.606	0	0	0	0.3296
5.4	1.0153	0.01133	0.00484	-0.0852	0.4029	1	-1.672	0	0	0	0.3273
5.6	1.035	0.01157	0.00505	-0.0847	0.3889	1	-1.7393	0	0	0	0.3251
5.8	1.0545	0.01182	0.00532	-0.0843	0.3759	1	-1.8069	0	0	0	0.3229
6	1.0733	0.01212	0.00555	-0.0838	0.362	1	-1.8812	0	0	0	0.3208
6.2	1.0929	0.01236	0.0058	-0.0834	0.3489	1	-1.9632	0	0	0	0.3187
6.6	1.1306	0.01294	0.00633	-0.0823	0.3227	1	-2.1275	0	0	0	0.3148
6.8	1.1486	0.01328	0.00662	-0.0817	0.3093	1	-2.2095	0	0	0	0.3128
7	1.167	0.01358	0.0069	-0.0811	0.2953	1	-2.3074	0	0	0	0.311
7.2	1.1851	0.0139	0.00721	-0.0805	0.2823	1	-2.4062	0	0	0	0.3091
7.4	1.2025	0.01427	0.00753	-0.0798	0.2694	1	-2.5056	0	0	0	0.3073
7.6	1.2207	0.01458	0.00791	-0.0792	0.2578	1	-2.6219	0	0	0	0.3055
7.8	1.237	0.01501	0.00827	-0.0783	0.2447	1	-2.7345	0	0	0	0.3037
8	1.2549	0.01532	0.00862	-0.0777	0.2323	1	-2.8822	0	0	0	0.302
8.2	1.2703	0.01579	0.00903	-0.0767	0.2196	1	-3.0602	0	0	0	0.3002
8.4	1.2879	0.01611	0.0094	-0.0761	0.2087	1	-3.2533	0	0	0	0.2986
8.6	1.3024	0.01662	0.00986	-0.075	0.197	1	-3.4679	0	0	0	0.2968
8.8	1.3192	0.01697	0.01026	-0.0742	0.1859	1	-3.7017	0	0	0	0.2952
9	1.3328	0.01751	0.01075	-0.073	0.1737	1	-3.9209	0	0	0	0.2934
9.2	1.3479	0.01794	0.01119	-0.072	0.1617	1	-4.1546	0	0	0	0.2918
9.4	1.3608	0.0185	0.01173	-0.0707	0.1502	1	-4.3774	0	0	0	0.29
9.6	1.3736	0.01903	0.0123	-0.0694	0.1382	1	-4.5974	0	0	0	0.2883
9.8	1.3843	0.0196	0.01287	-0.0677	0.1266	1	-4.8127	0	0	0	0.2864
10	1.3922	0.02029	0.0135	-0.0657	0.1142	1	-5.0127	0	0	0	0.2843
10.2	1.4015	0.02091	0.01414	-0.0638	0.1034	1	-5.2243	0	0	0	0.2824
10.4	1.4063	0.0218	0.01495	-0.0615	0.0926	1	-5.4051	0	0	0	0.2803
10.6	1.4147	0.02251	0.01572	-0.0596	0.085	1	-5.6126	0	0	0	0.2784
10.8	1.42	0.02342	0.0166	-0.0575	0.0774	1	-5.8012	0	0	0	0.2765
11	1.4212	0.02461	0.01778	-0.0551	0.0703	1	-5.9545	0	0	0	0.2744
11.2	1.4318	0.02524	0.01852	-0.0538	0.0656	1	-6.1892	0	0	0	0.2729
11.4	1.4372	0.02621	0.01949	-0.052	0.0602	1	-6.3873	0	0	0	0.2712
11.6	1.4361	0.02767	0.02094	-0.0498	0.0545	1	-6.5265	0	0	0	0.2693
11.8	1.4426	0.02865	0.022	-0.0483	0.0513	1	-6.7335	0	0	0	0.2678
12	1.4506	0.02954	0.023	-0.0471	0.0484	1	-6.9554	0	0	0	0.2665
12.2	1.4557	0.03066	0.02419	-0.0458	0.0453	1	-7.1556	0	0	0	0.2651
12.4	1.4577	0.03208	0.02562	-0.0444	0.0421	1	-7.3297	0	0	0	0.2637
12.6	1.4536	0.03408	0.02771	-0.0427	0.0387	1	-7.4446	0	0	0	0.2623
12.8	1.4526	0.03591	0.02964	-0.0414	0.0364	1	-7.5832	0	0	0	0.261
13	1.4623	0.03682	0.03066	-0.0408	0.0345	1	-7.8328	0	0	0	0.2601
